
                  CONFIDENTIAL INFORMATION DISCLOSURE AGREEMENT

      It is understood and agreed that the following shall govern the oral
and/or written disclosure of CONFIDENTIAL INFORMATION by VASCO DATA SECURITY,
INC. ("VASCO") to HUCOM, INC. ("HUCOM") concerning the VASCO SmartCard Reader,
AccessKey, Digipass and software products.

      The CONFIDENTIAL INFORMATION is disclosed in confidence so that HUCOM may
evaluate and use CONFIDENTIAL INFORMATION for the purpose of assisting VASCO in
the commercial exploitation thereof. <*$p$*>In consideration of the disclosure, HUCOM agrees to treat, and will treat, the CONFIDENTIAL INFORMATION disclosed to it as confidential for a period of 1 year, after which HUCOM has no obligation to maintain confidentiality, even if the information has not become publicly available.<*$p$*>

      <*$p$*>HUCOM further agrees not to make any use of the CONFIDENTIAL INFORMATION other than for the above-mentioned purpose(s) and will not disclose CONFIDENTIAL INFORMATION to any other person. Under no circumstances, can any Confidential Information be shared with anyone inside the company, even on a need-to-know basis.<*$p$*> <*$p$*>If no satisfactory arrangement is concluded between the parties, or if otherwise requested by VASCO, HUCOM may, at its sole discretion, either return to VASCO any written disclosure of CONFIDENTIAL INFORMATION provided by VASCO plus any copies, notes, summaries or other materials derived from the CONFIDENTIAL INFORMATION, or retain such materials indefinitely.<*$p$*>

      <*$p$*>With respect to the subject matter set forth above, this Agreement constitutes a partial agreement between the parties. Oral agreements made prior to this agreement are still valid.<*$p$*>



VASCO DATA SECURITY, INC.               HUCOM, INC.

T. Kendall Hunt                         Hideaki Sato
------------------------------          ------------------------------
NAME                                    NAME

Chief Executive Officer                 CEO & President
------------------------------          ------------------------------
TITLE                                   TITLE


/s/ T. Kendall Hunt                     /s/ Hideaki Sato
------------------------------          ------------------------------
SIGNATURE                               SIGNATURE

6/3/97                                  6/3/97
------------------------------          ------------------------------
DATE                                    DATE

